
SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 112
SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 100

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 104

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 103

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 103

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 105

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 99

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 99

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 98

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 104

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 104

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 101

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 105

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 99

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 99

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 102

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 107

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 106

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 106

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 97

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 104

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 104

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 91

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 95

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 104

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 104

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 96

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 97

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 97

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 93

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 96

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 96

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 98

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 99

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 105

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 105

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 96

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 93

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 93

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 89

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 97

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 85

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 85

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 78

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 79

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 79

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 76

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 77

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 71

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 71

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 79

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 79

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 68

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 68

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 68

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 75

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 75

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 70

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 71

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 74

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 74

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 69

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 73

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 72

SLAM MODE |  Maps: 1, KFs: 1, MPs: 169, Matches: 72

SLAM MODE |  Maps: 1, KFs: 2, MPs: 199, Matches: 63

SLAM MODE |  Maps: 1, KFs: 3, MPs: 167, Matches: 101

SLAM MODE |  Maps: 1, KFs: 3, MPs: 167, Matches: 101

SLAM MODE |  Maps: 1, KFs: 3, MPs: 167, Matches: 109

SLAM MODE |  Maps: 1, KFs: 3, MPs: 167, Matches: 107

SLAM MODE |  Maps: 1, KFs: 3, MPs: 167, Matches: 104

SLAM MODE |  Maps: 1, KFs: 3, MPs: 167, Matches: 104

SLAM MODE |  Maps: 1, KFs: 3, MPs: 167, Matches: 87

SLAM MODE |  Maps: 1, KFs: 3, MPs: 167, Matches: 83

SLAM MODE |  Maps: 1, KFs: 3, MPs: 167, Matches: 82

SLAM MODE |  Maps: 1, KFs: 3, MPs: 167, Matches: 82

SLAM MODE |  Maps: 1, KFs: 4, MPs: 187, Matches: 78

SLAM MODE |  Maps: 1, KFs: 4, MPs: 187, Matches: 112

SLAM MODE |  Maps: 1, KFs: 4, MPs: 187, Matches: 119

SLAM MODE |  Maps: 1, KFs: 4, MPs: 187, Matches: 119

SLAM MODE |  Maps: 1, KFs: 4, MPs: 187, Matches: 114

SLAM MODE |  Maps: 1, KFs: 4, MPs: 187, Matches: 114

SLAM MODE |  Maps: 1, KFs: 4, MPs: 187, Matches: 115

SLAM MODE |  Maps: 1, KFs: 4, MPs: 187, Matches: 115

SLAM MODE |  Maps: 1, KFs: 4, MPs: 187, Matches: 108

SLAM MODE |  Maps: 1, KFs: 4, MPs: 187, Matches: 103

SLAM MODE |  Maps: 1, KFs: 4, MPs: 187, Matches: 103

SLAM MODE |  Maps: 1, KFs: 4, MPs: 187, Matches: 111

SLAM MODE |  Maps: 1, KFs: 4, MPs: 187, Matches: 109

SLAM MODE |  Maps: 1, KFs: 4, MPs: 187, Matches: 109

SLAM MODE |  Maps: 1, KFs: 4, MPs: 187, Matches: 105

SLAM MODE |  Maps: 1, KFs: 4, MPs: 187, Matches: 92

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 76

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 76

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 99

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 95

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 95

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 89

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 89

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 85

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 85

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 80

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 79

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 80

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 80

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 80

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 74

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 74

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 69

SLAM MODE |  Maps: 1, KFs: 5, MPs: 209, Matches: 67

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 66

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 66

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 104

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 100

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 100

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 100

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 90

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 90

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 84

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 90

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 90

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 87

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 87

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 91

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 80

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 80

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 76

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 85

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 81

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 81

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 78

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 74

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 74

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 77

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 63

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 63

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 63

SLAM MODE |  Maps: 1, KFs: 6, MPs: 226, Matches: 62

SLAM MODE |  Maps: 1, KFs: 7, MPs: 277, Matches: 59

SLAM MODE |  Maps: 1, KFs: 7, MPs: 277, Matches: 124

SLAM MODE |  Maps: 1, KFs: 7, MPs: 277, Matches: 124

SLAM MODE |  Maps: 1, KFs: 7, MPs: 277, Matches: 100

SLAM MODE |  Maps: 1, KFs: 7, MPs: 277, Matches: 96

SLAM MODE |  Maps: 1, KFs: 7, MPs: 277, Matches: 82

SLAM MODE |  Maps: 1, KFs: 7, MPs: 277, Matches: 82

SLAM MODE |  Maps: 1, KFs: 7, MPs: 277, Matches: 79

SLAM MODE |  Maps: 1, KFs: 7, MPs: 277, Matches: 71

SLAM MODE |  Maps: 1, KFs: 7, MPs: 277, Matches: 71

SLAM MODE |  Maps: 1, KFs: 7, MPs: 277, Matches: 63

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 58

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 82

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 82

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 90

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 91

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 76

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 76

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 69

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 74

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 74

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 66

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 69

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 68

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 68

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 74

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 70

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 73

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 73

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 71

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 66

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 72

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 72

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 67

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 64

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 65

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 65

SLAM MODE |  Maps: 1, KFs: 8, MPs: 303, Matches: 70

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 61

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 61

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 109

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 101

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 100

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 100

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 100

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 90

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 88

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 88

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 83

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 80

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 78

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 78

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 80

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 83

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 83

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 70

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 69

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 70

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 70

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 76

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 77

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 77

SLAM MODE |  Maps: 1, KFs: 9, MPs: 313, Matches: 80

